titel	titel_key	externe_id	datum	adres	postcode	omschrijving	locatie	url	plaats	type	srt	Naam	Type	toevoeging	bezoekadres	Postcode	Plaats	postadres	post_pc	tel	fax	email	internet	directie	stadsdeel	brin	Meer info van DMO
Basisschool De Wiltzangh	basisschool_de_wiltzangh		0000-00-00 00:00:00	Hertspieghelweg 55	1055 KK		POINT(4.85084 52.38169)		Amsterdam	Basisschool	PO	Basisschool De Wiltzangh	Protestants Christelijk		Hertspieghelweg 55	1055 KK	Amsterdam	Postbus 56943	1040 AX Amsterdam	684 04 51	688 15 79	info@dewiltzangh.nl	www.dewiltzangh.nl	mw. C.J. van der Leeden-van den Berg 	West	06GK00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/06GK00.htm
Stichting Joodse Kindergemeenschap Cheider	stichting_joodse_kindergemeenschap_cheider		0000-00-00 00:00:00	Zeelandstraat 11	1082 BV		POINT(4.87902 52.32681)		Amsterdam	Basisschool	PO	Stichting Joodse Kindergemeenschap Cheider	Joods		Zeelandstraat 11	1082 BV	Amsterdam	Postbus 7828	1008AA Amsterdam	646 55 64	642 53 45	secretariaat@cheider.nl		mw. M.G Spaargaren en Rabbijn H. Groenewoudt	Zuid	07AD00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07AD00.htm
Basisschool Instituut Schreuder	basisschool_instituut_schreuder		0000-00-00 00:00:00	Van de Veldestraat 10	1071 CW		POINT(4.87987 52.35896)		Amsterdam	Basisschool	PO	Basisschool Instituut Schreuder	Protestants Christelijk		Van de Veldestraat 10	1071 CW	Amsterdam	Van de Veldestraat 10	1071CW Amsterdam	679 58 27		info@schreuderschool.nl	www.instituutschreuder.nl	dhr. O. Vrijhof	Zuid	07HQ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07HQ00.htm
Admiraal de Ruyterschool 	admiraal_de_ruyterschool		0000-00-00 00:00:00	Bestevaerstraat 42-44	1056 HP		POINT(4.86001 52.37394)		Amsterdam	Basisschool	PO	Admiraal de Ruyterschool 	Protestants Christelijk		Bestevaerstraat 42-44	1056 HP	Amsterdam	Bestevaerstraat 42-44	1056HP Amsterdam	618 21 80		admiraalderuyter.directie@askoscholen.nl	www.admiraalderuyterschool.nl	mw. S. van Caem (dir.) en mw. C. Witting (adj.dir.)	West	07JH00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07JH00.htm
Eerste Openluchtschool voor het Gezonde Kind	eerste_openluchtschool_voor_het_gezonde_kind		0000-00-00 00:00:00	Cliostraat 40	1077 KJ		POINT(4.87441 52.34795)		Amsterdam	Basisschool	PO	Eerste Openluchtschool voor het Gezonde Kind	Algemeen Bijzonder		Cliostraat 40	1077 KJ	Amsterdam	Cliostraat 40	1077KJ Amsterdam	679 90 12		eersteols@openluchtschool1.nl	www.openluchtschool1.nl	dhr. O. van Ulzen	Zuid	07JK00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07JK00.htm
Peetersschool	peetersschool		0000-00-00 00:00:00	Richard Holstraat 8	1071 SM		POINT(4.8776 52.35215)		Amsterdam	Basisschool	PO	Peetersschool	Rooms Katholiek		Richard Holstraat 8	1071 SM	Amsterdam	Richard Holstraat 8	1071SM Amsterdam	662 59 97		basisschool@peetersschool.nl	www.peetersschool.nl	dhr. J. Oomen	Zuid	07RC00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07RC00.htm
Brede School Fiep Westendorp	brede_school_fiep_westendorp		0000-00-00 00:00:00	Overschiestraat 168B	1062 XK		POINT(4.83851 52.34927)		Amsterdam	Basisschool	PO	Brede School Fiep Westendorp	Rooms Katholiek		Overschiestraat 168B	1062 XK	Amsterdam	Overschiestraat 168B	1062XK Amsterdam	408 05 13		info@bsfiepwestendorp.nl	www.bsfiepwestendorp.nl	dhr. J.A.M. van Aert	Nieuw-West	07TJ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07TJ00.htm
Basisschool de Elout 	basisschool_de_elout		0000-00-00 00:00:00	Cornelis Krusemanstraat 68	1075 NS		POINT(4.85888 52.35038)		Amsterdam	Basisschool	PO	Basisschool de Elout 	Rooms Katholiek		Cornelis Krusemanstraat 68	1075 NS	Amsterdam	Cornelis Krusemanstraat 68	1075NS Amsterdam	470 27 17	470 27 20	bselout@bselout.nl	www.bselout.nl	dhr. D. Riesener	Zuid	07TJ02	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07TJ02.htm
Basisschool De Bi�nkorf	basisschool_de_bienkorf		0000-00-00 00:00:00	Mari�ndaal 11	1025 BT		POINT(4.94162 52.40213)		Amsterdam	Basisschool	PO	Basisschool De Bi�nkorf	Rooms Katholiek	Jenaplan / Ervaringsgericht onderwijs EGO	Mari�ndaal 11	1025 BT	Amsterdam	Mari�ndaal 11	1025BT Amsterdam	636 70 67	637 11 28	bienkorf.info@askoscholen.nl	www.bienkorf.nl	mw. C. Vos 	Noord	07TK00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07TK00.htm
Hildebrand-van Loonschool	hildebrand_van_loonschool		0000-00-00 00:00:00	Hondecoeterstraat 6	1071 LR		POINT(4.87776 52.35464)		Amsterdam	Basisschool	PO	Hildebrand-van Loonschool	Protestants Christelijk		Hondecoeterstraat 6	1071 LR	Amsterdam	Hondecoeterstraat 6	1071LR Amsterdam	676 06 25		directie@hvlschool.nl	www.hvlschool.nl	mw. E.D. Lieske	Zuid	07XC00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07XC00.htm
WSV, voorheen Watergraafsmeerse Schoolvereniging	wsv_voorheen_watergraafsmeerse_schoolvereniging		0000-00-00 00:00:00	Copernicusstraat 38-40	1098 JH		POINT(4.9374 52.35457)		Amsterdam	Basisschool	PO	WSV, voorheen Watergraafsmeerse Schoolvereniging	Algemeen Bijzonder		Copernicusstraat 38-40	1098 JH	Amsterdam	Postbus 95028	1090HA Amsterdam	694 74 81		h.devries@wsv.espritscholen.nl	www.wsv.espritscholen.nl	mw. H. de Vries	Oost	08CA00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/08CA00.htm
WSV, voorheen Watergraafsmeerse Schoolvereniging	wsv_voorheen_watergraafsmeerse_schoolvereniging_1		0000-00-00 00:00:00	Paradijsplein 2	1092 NJ		POINT(4.9326 52.35782)		Amsterdam	Basisschool	PO	WSV, voorheen Watergraafsmeerse Schoolvereniging	Algemeen Bijzonder		Paradijsplein 2	1092 NJ	Amsterdam	Postbus 95028	1090HA Amsterdam	694 74 81		h.devries@wsv.espritscholen.nl	www.wsv.espritscholen.nl	mw. H. de Vries	Oost	08CA00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/08CA00.htm
Geert Groote School I	geert_groote_school_i		0000-00-00 00:00:00	Hygi�aplein 47	1076 RS		POINT(4.86446 52.34768)		Amsterdam	Basisschool	PO	Geert Groote School I	Antroposofisch	Vrije School	Hygi�aplein 47	1076 RS	Amsterdam	Postbus 75754	1070AT Amsterdam	671 60 90	679 91 71	ggsplein@zonnet.nl	www.geertgrooteschool.nl	mw. L. Hobus	Zuid	08CB00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/08CB00.htm
Rooms Katholieke Basisschool Sint Henricus	rooms_katholieke_basisschool_sint_henricus		0000-00-00 00:00:00	Louis Naarstigstraat 1	1063 EN		POINT(4.8283 52.38379)		Amsterdam	Basisschool	PO	Rooms Katholieke Basisschool Sint Henricus	Rooms Katholiek		Louis Naarstigstraat 1	1063 EN	Amsterdam	Louis Naarstigstraat 1	1063EN Amsterdam	613 38 54		administratie@sthenricus.nl	www.sthenricus.nl	dhr. M.R. d` Arnault	Nieuw-West	08KC00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/08KC00.htm
Oecumenische Basisschool De Ark	oecumenische_basisschool_de_ark		0000-00-00 00:00:00	Zuid-Hollandstraat 7	1082 EK		POINT(4.87478 52.32664)		Amsterdam	Basisschool	PO	Oecumenische Basisschool De Ark	Algemeen Bijzonder		Zuid-Hollandstraat 7	1082 EK	Amsterdam	Zuid-Hollandstraat 7	1082EK Amsterdam	642 62 12		directie@de-ark.net	www.de-ark.net	dhr. Jan Willem Somers	Zuid	08KR00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/08KR00.htm
Buitenveldertse Montessorischool	buitenveldertse_montessorischool		0000-00-00 00:00:00	Sandenburch 1-3	1082 GN		POINT(4.87939 52.3256)		Amsterdam	Basisschool	PO	Buitenveldertse Montessorischool	Algemeen Bijzonder	Montessori	Sandenburch 1-3	1082 GN	Amsterdam	Sandenburch 1-3	1082GN Amsterdam	644 84 46		info@bms-school.nl	www.bms-school.nl	mw. I. Schoonackers	Zuid	08NU00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/08NU00.htm
Tweede Openluchtschool voor het Gezonde Kind	tweede_openluchtschool_voor_het_gezonde_kind		0000-00-00 00:00:00	Fred. Roeskestraat 76	1076 ED		POINT(4.8637 52.34127)		Amsterdam	Basisschool	PO	Tweede Openluchtschool voor het Gezonde Kind	Algemeen Bijzonder		Fred. Roeskestraat 76	1076 ED	Amsterdam	Fred. Roeskestraat 76	1076ED Amsterdam	679 38 58		admin@openluchtschool2.nl	www.openluchtschool2.nl	mw. M. van der Graaff	Zuid	08VA00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/08VA00.htm
Brede School Mgr. Bekkers	brede_school_mgr_bekkers		0000-00-00 00:00:00	Volendammerweg 160	1024 JR		POINT(4.95999 52.39236)		Amsterdam	Basisschool	PO	Brede School Mgr. Bekkers	Rooms Katholiek		Volendammerweg 160	1024 JR	Amsterdam	Volendammerweg 160	1024JR Amsterdam	636 59 23	637 15 65	mgrbekkers.info@askoscholen.nl	www.bekkersschool.nl	dhr. L van Netten (dir.) en mw. S.M.T. van Beusekom (adj. dir.)	Noord	08ZE00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/08ZE00.htm
Geert Groote School II	geert_groote_school_ii		0000-00-00 00:00:00	Fred. Roeskestraat 82	1076 ED		POINT(4.86309 52.34159)		Amsterdam	Basisschool	PO	Geert Groote School II	Antroposofisch	Vrije School	Fred. Roeskestraat 82	1076 ED	Amsterdam	Postbus 75754	1070AT Amsterdam	664 18 00	675 04 66	administratie@ggsroeske.nl	www.geertgrooteschool.nl	mw. S. Holthaus	Zuid	09DD00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/09DD00.htm
Katholieke Basisschool De Springplank	katholieke_basisschool_de_springplank		0000-00-00 00:00:00	Robert Scottstraat 28 - 30	1056 AZ		POINT(4.84643 52.3735)		Amsterdam	Basisschool	PO	Katholieke Basisschool De Springplank	Rooms Katholiek		Robert Scottstraat 28 - 30	1056 AZ	Amsterdam	Robert Scottstraat 28 - 30	1056AZ Amsterdam	616 25 53	616 58 68	info@kbsdespringplank.nl	www.kbsdespringplank.nl	mw. M.J. Karskens	West	09JY00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/09JY00.htm
Katholieke Basisschool De Springplank	katholieke_basisschool_de_springplank_1		0000-00-00 00:00:00	Orteliuskade 5	1057 AA		POINT(4.85064 52.36512)		Amsterdam	Basisschool	PO	Katholieke Basisschool De Springplank	Rooms Katholiek		Orteliuskade 5	1057 AA	Amsterdam	Robert Scottstraat 28 - 30	1056AZ Amsterdam	618 77 56		info@kbsdespringplank.nl	www.kbsdespringplank.nl	mw. M.J. Karskens	West	09JY00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/09JY00.htm
De Amsterdamse Montessori School	de_amsterdamse_montessori_school		0000-00-00 00:00:00	Willem Witsenstraat 14	1077 AZ		POINT(4.87034 52.35093)		Amsterdam	Basisschool	PO	De Amsterdamse Montessori School	Algemeen Bijzonder	Montessori	Willem Witsenstraat 14	1077 AZ	Amsterdam	Willem Witsenstraat 14	1077AZ Amsterdam	305 78 78		ams@de-ams.nl	www.de-ams.nl	mw. C. Jelsma	Zuid	09MQ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/09MQ00.htm
De Amsterdamse Montessori School	de_amsterdamse_montessori_school_1		0000-00-00 00:00:00	Albrecht D�rerstraat 36	1077 MA		POINT(4.87572 52.34851)		Amsterdam	Basisschool	PO	De Amsterdamse Montessori School	Algemeen Bijzonder	Montessori	Albrecht D�rerstraat 36	1077 MA	Amsterdam	Willem Witsenstraat 14	1077AZ Amsterdam	470 05 66	470 06 03	ams@de-ams.nl	www.de-ams.nl	mw. C. Jelsma	Zuid	09MQ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/09MQ00.htm
Basisschool De Kraanvogel	basisschool_de_kraanvogel		0000-00-00 00:00:00	President Brandstraat 29	1091 XD		POINT(4.9181 52.3544)		Amsterdam	Basisschool	PO	Basisschool De Kraanvogel	Protestants Christelijk		President Brandstraat 29	1091 XD	Amsterdam	President Brandstraat 29	1091XD Amsterdam	694 27 68	465 82 59	info@kraanvogelweb.nl	www.kraanvogelweb.nl	mw. M. Alting (dir.) en mw. M. Keuning (adj.dir.)	Oost	09ZI00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/09ZI00.htm
Sint-Antoniusschool	sint_antoniusschool		0000-00-00 00:00:00	Lastageweg 50	1011 DB		POINT(4.90234 52.37318)		Amsterdam	Basisschool	PO	Sint-Antoniusschool	Rooms Katholiek		Lastageweg 50	1011 DB	Amsterdam	Lastageweg 50	1011DB Amsterdam	623 89 63		m.jaspers@askoscholen.nl	www.sint-antoniusschool.nl	mw. M. Jaspers	Centrum	10OW00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/10OW00.htm
Jan Woudsmaschool	jan_woudsmaschool		0000-00-00 00:00:00	Jaargetijden 4	1109 AR		POINT(5.01939 52.30541)		Amsterdam  Zuidoost	Basisschool	PO	Jan Woudsmaschool	Protestants Christelijk		Jaargetijden 4	1109 AR	Amsterdam  Zuidoost	Jaargetijden 4	1109AR Amsterdam  Zuidoost	0294-45 01 90		jwd@janwoudsmaschool.nl	www.janwoudsmaschool.nl	mw. M. Gentenaar	Zuidoost	10RG00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/10RG00.htm
Basisschool Frankendael	basisschool_frankendael		0000-00-00 00:00:00	Hogeweg 61	1098 CA		POINT(4.93452 52.35617)		Amsterdam	Basisschool	PO	Basisschool Frankendael	Protestants Christelijk		Hogeweg 61	1098 CA	Amsterdam	Hogeweg 61	1098CA Amsterdam	463 81 00	463 80 99	admin@frankendaelschool.nl	www.frankendaelschool.nl	dhr. Ruud Sahertian	Oost	11LY00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/11LY00.htm
Basisschool Frankendael	basisschool_frankendael_1		0000-00-00 00:00:00	Von Liebigweg 68	1097 RP		POINT(4.92705 52.34237)		Amsterdam	Basisschool	PO	Basisschool Frankendael	Protestants Christelijk		Von Liebigweg 68	1097 RP	Amsterdam	Hogeweg 61	1098CA Amsterdam	694 66 58	463 81 10	admin@frankendaelschool.nl	www.frankendaelschool.nl	dhr. Ruud Sahertian	Oost	11LY00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/11LY00.htm
Basisschool Frankendael	basisschool_frankendael_2		0000-00-00 00:00:00	Tweede Oosterparkstraat 33	1091 HV		POINT(4.91308 52.35617)		Amsterdam	Basisschool	PO	Basisschool Frankendael	Protestants Christelijk		Tweede Oosterparkstraat 33	1091 HV	Amsterdam	Hogeweg 61	1098CA Amsterdam	694 07 08	663 63 80	admin@frankendaelschool.nl	www.frankendaelschool.nl	dhr. Ruud Sahertian	Oost	11LY00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/11LY00.htm
Basisschool Onze Wereld	basisschool_onze_wereld		0000-00-00 00:00:00	Kortvoort 61 E	1104 NA		POINT(4.97026 52.31577)		Amsterdam Zuidoost	Basisschool	PO	Basisschool Onze Wereld	Samenwerking PC, RK	onderwijs op levensbeschouwelijke grondslag	Kortvoort 61 E	1104 NA	Amsterdam Zuidoost	Kortvoort 61 E	1104NA Amsterdam Zuidoost	690 73 05	698 13 20	directie@bsonzewereld.nl	www.bsonzewereld.nl	mw. R.M. Conijnenberg (dir.) en dhr. J. Pfann (adj.dir.)	Zuidoost	11WV00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/11WV00.htm
Basisschool Polsstok	basisschool_polsstok		0000-00-00 00:00:00	EGoli 2	1103 AC		POINT(4.96024 52.32246)		Amsterdam Zuidoost	Basisschool	PO	Basisschool Polsstok	Samenwerking PC, RK	onderwijs op levensbeschouwelijke grondslag	EGoli 2	1103 AC	Amsterdam Zuidoost	EGoli 2	1103AC Amsterdam Zuidoost	695 13 60		directie@polsstok.nl	www.polsstok.nl	dhr. B.J.B. Commissaris (dir.) en mw. N.D. Schr�der (adj.dir.)	Zuidoost	12GF00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/12GF00.htm
Basisschool Oranje-Nassau	basisschool_oranje_nassau		0000-00-00 00:00:00	Ribesstraat 13-15	1032 JR		POINT(4.91525 52.39351)		Amsterdam	Basisschool	PO	Basisschool Oranje-Nassau	Protestants Christelijk		Ribesstraat 13-15	1032 JR	Amsterdam	Ribesstraat 13-15	1032JR Amsterdam	636 00 05	632 70 38	info@onassau.nl	www.onassauschool.nl	mw. Swaan-Rutten (dir.) en mw. D. Detz  (adj.dir.)	Noord	12LG00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/12LG00.htm
Basisschool De Nautilus	basisschool_de_nautilus		0000-00-00 00:00:00	Theophile de Bockstraat 100 C	1058 VC		POINT(4.84624 52.355)		 Amsterdam	Basisschool	PO	Basisschool De Nautilus	Protestants Christelijk		Theophile de Bockstraat 100 C	1058 VC	 Amsterdam	Theophile de Bockstraat 100 C	1058VC  Amsterdam	617 36 56		info@denautilus.net	www.denautilus.net	mw. C. Lucas	Zuid	12ON00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/12ON00.htm
Basisschool De Driemaster	basisschool_de_driemaster		0000-00-00 00:00:00	Binnenvaart 1	1034 SG		POINT(4.91835 52.40908)		Amsterdam	Basisschool	PO	Basisschool De Driemaster	Protestants Christelijk		Binnenvaart 1	1034 SG	Amsterdam	Binnenvaart 1	1034SG Amsterdam	631 98 82	492 05 28	info@3master.nl	www.3master.nl	mw. J.S. Heijm (dir.) en dhr. W. Groenewold (adj.dir.)	Noord	12TM00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/12TM00.htm
Basisschool De Bonkelaar	basisschool_de_bonkelaar		0000-00-00 00:00:00	Molenwijk 3	1035 EE		POINT(4.88977 52.42112)		Amsterdam	Basisschool	PO	Basisschool De Bonkelaar	Protestants Christelijk		Molenwijk 3	1035 EE	Amsterdam	Molenwijk 3	1035EE Amsterdam	631 19 45		info@debonkelaar.nl	www.debonkelaar.nl	mw. L. Schaasberg	Noord	12WG00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/12WG00.htm
Basisschool Achtsprong	basisschool_achtsprong		0000-00-00 00:00:00	Huntum 14-15	1102 JA		POINT(4.96013 52.30864)		Amsterdam Zuidoost	Basisschool	PO	Basisschool Achtsprong	Samenwerking PC, RK	onderwijs op levensbeschouwelijke grondslag	Huntum 14-15	1102 JA	Amsterdam Zuidoost	Huntum 14-15	1102JA Amsterdam Zuidoost	696 72 57		directie@achtsprong.nl	www.achtsprong.nl	dhr. G.P.M Snijders (dir.) en mw. M.L. Sabajo (adj. dir.)	Zuidoost	12WS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/12WS00.htm
Immanuelschool	immanuelschool		0000-00-00 00:00:00	Jan de Louterstraat 90	1063 KX		POINT(4.81771 52.38051)		Amsterdam	Basisschool	PO	Immanuelschool	Protestants Christelijk		Jan de Louterstraat 90	1063 KX	Amsterdam	Jan de Louterstraat 90	1063KX Amsterdam	613 18 83	611 74 00	directie@immanuelschool.eu	www.immanuelschool.eu	mw. P. Verburg	Nieuw-West	12ZS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/12ZS00.htm
Basisschool Insulinde	basisschool_insulinde		0000-00-00 00:00:00	Sumatrastraat 87	1094 LR		POINT(4.93654 52.36201)		Amsterdam	Basisschool	PO	Basisschool Insulinde	Protestants Christelijk		Sumatrastraat 87	1094 LR	Amsterdam	Sumatrastraat 87	1094LR Amsterdam	694 26 36	468 48 80	administratie@insulindebao.nl	www.basisschoolinsulinde.nl		Oost	12ZY00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/12ZY00.htm
De Catamaran	de_catamaran		0000-00-00 00:00:00	Oostzaanstraat 45	1013 WG		POINT(4.87381 52.3904)		Amsterdam	Basisschool	PO	De Catamaran	Protestants Christelijk		Oostzaanstraat 45	1013 WG	Amsterdam	Oostzaanstraat 45	1013WG Amsterdam	682 99 07	682 94 97	catamarano@amosonderwijs.nl	www.catamaran-oostzaanstraat.nl	mw. C. Leegwater	West	13CD00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13CD00.htm
De Catamaran	de_catamaran_1		0000-00-00 00:00:00	Bentinckstraat 78	1051 GN		POINT(4.87131 52.38331)		Amsterdam	Basisschool	PO	De Catamaran	Protestants Christelijk		Bentinckstraat 78	1051 GN	Amsterdam	Bentinckstraat 78	1051GN Amsterdam	684 02 00	486 11 53	administratie@decatamaranb.nl	www.decatamaran.eu	dhr. Jan Heijmans	West	13CD00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13CD00.htm
Basisschool Knotwilg	basisschool_knotwilg		0000-00-00 00:00:00	Vreeswijkpad 9	1106 DV		POINT(4.98329 52.29671)		Amsterdam Zuidoost	Basisschool	PO	Basisschool Knotwilg	Samenwerking PC, RK	onderwijs op levensbeschouwelijke grondslag	Vreeswijkpad 9	1106 DV	Amsterdam Zuidoost	Vreeswijkpad 9	1106DV Amsterdam Zuidoost	697 35 10		directie@knotwilg.nl	www.knotwilg.nl	dhr. H. Veerman (dir.) en mw. Th. Tel (adj.dir.)	Zuidoost	13CN00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13CN00.htm
